r_i	U	U_L	u
0	8.83	0.0041	0.000464326
0.1	8.83	0.51	0.0577576
0.2	8.83	0.767	0.086863
0.3	8.83	0.976	0.110532
0.4	8.83	1.192	0.134994
0.5	8.83	1.449	0.1641
0.6	8.83	1.785	0.202152
0.7	8.83	2.272	0.257305
0.8	8.83	3.058	0.346319
0.9	8.83	4.561	0.516535
1	8.82	8.77	0.994331
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
			0
